U,V
3904,6319
3926,6348
3949,6406
3971,6406
3992,6406
4013,6392
4033,6406
4053,6406
4070,6406
4087,6421
4101,6406
4114,6391
4125,6391
4134,6435
4140,6435
4144,6391
4146,6391
4145,6435
4141,6441
4135,6421
4126,6435
4115,6435
4101,6406
4084,6435
4066,6406
4044,6391
4021,6421
3996,6406
3969,6421
3940,6377
3910,6421
3878,6406
3846,6406
3813,6377
3779,6334
3745,6263
3711,2420
3678,6153
3645,6100
3613,5971
3581,5859
3552,5751
3523,5681
3497,5580
3472,5482
3449,5408
3429,5346
3411,5266
3395,5208
3382,5141
3372,5085
3364,5031
3359,4995
3357,4977
3358,4960
3361,4942
3367,4942
3375,4951
3386,4951
3399,4977
3414,4995
3431,5040
3449,5085
3469,5122
3490,5160
3513,5246
3536,5276
3560,5356
3583,5429
3607,5436
3631,4433
3654,5624
3677,5681
3699,5763
3719,5810
3739,5883
3756,5958
3773,6009
3787,6048
3799,6127
3809,6140
3817,6180
3822,6208
3826,6250
3827,6277
3825,6291
3821,6306
3815,6277
3807,6305
3797,6263
3784,6249
3770,6222
3754,6194
3736,6137
3717,6127
3697,6074
3675,6036
3653,5996
3630,5958
3607,4669
3584,5810
3561,5704
3538,5669
3515,5569
3493,5525
3472,5450
3452,5408
3434,5326
3416,5276
3401,5208
3387,5150
3374,5113
3364,5076
3355,5022
3348,4995
3344,4951
3341,4934
3340,4899
3341,4899
3344,4899
3348,4891
3354,4891
3362,4899
3371,4908
3381,4925
3392,4951
3404,4968
3417,5013
3430,5040
3443,5085
3456,5122
3469,5169
3481,5208
3493,5266
3504,5296
3514,5326
3523,5367
3531,5387
3536,5419
3541,4353
3543,5460
3544,4377
3542,5492
3539,5492
3533,5471
3526,5482
3516,5482
3504,5460
3491,5429
3475,5418
3457,5334
3438,5326
3417,5306
3395,5227
3372,5160
3347,5094
3322,5040
3296,4960
3269,4899
3243,4815
3217,4742
3190,4656
3165,4572
3141,4608
3117,4526
3095,4333
3074,4371
3056,4204
3039,4239
3025,4175
3013,4114
3003,4073
2996,4032
2992,3227
2991,3947
2993,3925
2999,3914
3007,3897
3018,3897
3032,3826
3050,3930
3070,3946
3094,3992
3120,4025
3148,4113
3179,4168
3213,4178
3248,4355
3285,4367
3324,4499
3365,4697
3406,4711
3449,4848
3492,4969
3535,5141
3579,5256
3623,5367
3666,5536
3708,5658
3750,5763
3790,5896
3829,6022
3867,6127
3903,6236
3937,6305
3969,6377
3999,6391
4027,6421
4052,6421
4075,6391
4096,6391
4114,6435
4130,6421
4143,6391
4154,6435
4163,6406
4170,6406
4175,6406
4178,6406
4179,6450
4179,6406
4177,6406
4174,6421
4171,6391
4166,6406
4161,6421
4155,6421
4150,6391
4144,6391
4139,6392
4134,6406
4129,6391
4126,5043
4123,6406
4122,6406
4122,6391
4123,6392
4125,6406
4129,6391
4134,6391
4141,6392
4149,6406
4159,6391
4170,6391
4183,6406
4197,6406
4212,6391
4228,6391
4246,6406
4263,6406
4282,6391
4301,6406
4320,6406
4339,6391
4358,6391
4377,6392
4395,6406
4412,6406
4428,6391
4443,6406
4456,6406
4468,6391
4478,6391
4486,6391
4491,6406
4495,6377
4496,5043
4494,6406
4490,6406
4484,6391
4474,6392
4462,6377
4447,6391
4430,6377
4410,6406
4387,6406
4363,6391
4336,6362
4306,6392
4275,6391
4242,6362
4208,6377
4172,6391
4136,6406
4098,6377
4060,6377
4021,6391
3982,6377
3944,6362
3906,6348
3868,6392
3832,6406
3796,6348
3762,6277
3730,6222
3699,6127
3671,6035
3644,5958
3620,4646
3599,5798
3579,5763
3563,5658
3549,5613
3538,5547
3529,5503
3524,5471
3521,5450
3520,5429
3522,5419
3526,5408
3533,5419
3542,5408
3552,5418
3565,5461
3578,5471
3594,5514
3610,5536
3627,5580
3645,5602
3663,5647
3681,5716
3699,5775
3717,5810
3734,5871
3750,5920
3765,6009
3779,6035
3792,6087
3802,6113
3811,6153
3818,6167
3823,6194
3826,6222
3827,6250
3825,6277
3821,6291
3814,6305
3805,6277
3794,6222
3781,6180
3765,6180
3747,6140
3728,6113
3706,6061
3683,6022
3659,5971
3633,5908
3606,5834
3579,5798
3550,5716
3521,5613
3492,5547
3463,5450
3435,5367
3406,5296
3378,5198
3351,5132
3326,5040
3301,4960
3277,4873
3256,4799
3235,4726
3217,4656
3200,4587
3186,4535
3173,4592
3162,4429
3153,4496
3146,4346
3142,4300
3138,4385
3137,4254
3138,4365
3139,4229
3143,4323
3147,4228
3153,4330
3160,4235
3167,4350
3175,4273
3183,4384
3191,4313
3199,4440
3207,4366
3215,4394
3221,4518
3227,4443
3232,4471
3235,4584
3237,4506
3237,4513
3236,4629
3232,4644
3227,4542
3220,4528
3211,4615
3200,4499
3187,4464
3172,4531
3154,4533
3135,4394
3114,4448
3092,4280
4240,4323
4269,4197
4287,4423
4294,4705
4291,5258
4276,5693
4250,6100
4213,6250
4166,6348
4110,6348
4046,6391
3974,6406
3897,6391
3817,6391
3733,6363
3649,6291
3566,6113
3485,5921
3409,5681
3338,5533
3275,5286
3220,5170
3175,4934
3141,4750
3118,4572
3107,4429
3108,4433
3120,4261
3145,4317
3181,4197
3227,4336
3283,4313
3348,4524
3419,4573
3496,4774
3578,4951
3661,5189
3746,5439
3830,5670
3911,5883
3989,6113
4061,6291
4126,6334
4183,6348
4232,6377
4271,6342
4299,6377
4318,6391
4325,6391
4323,6406
4310,6391
4288,6406
4258,6406
4220,6406
4176,6391
4126,6392
4073,6406
4018,3191
3962,6391
3907,6391
3854,6406
3805,6348
3760,6306
3722,6222
3690,6154
3666,6048
3651,5933
3645,5871
3647,5846
3659,5810
3679,5798
3707,5822
3743,5834
3785,5908
3833,6009
3885,6113
3940,4908
3997,6291
4053,6362
4109,6348
4161,6392
4210,6392
4252,6377
4288,6377
4317,6392
4336,6377
4346,6362
4346,6377
4336,6391
4315,6406
4284,6377
4244,6377
4194,6391
4136,6377
4070,6362
3999,6377
3922,6392
3842,6391
3759,6377
3677,6277
3595,6127
3516,5958
3441,5751
3371,5547
3307,5316
