U,V
2948,3230
2995,3230
3034,3230
3065,3230
3087,3230
3100,5667
3103,5667
3096,5667
3080,5667
3054,5667
3021,5667
2980,5667
2932,5667
2880,5667
2823,5667
2764,5667
2704,5667
2645,5667
2587,5667
2534,2450
2485,2450
2442,14
2407,2489
2381,2489
2363,2489
2356,2489
2359,2489
2373,2489
2397,14
2431,14
2475,14
2528,14
2589,14
2656,14
2729,14
2807,14
2887,14
2967,14
3048,14
3126,14
3200,14
3269,14
3332,14
3387,14
3432,14
3468,14
3494,14
3508,2273
3512,2273
3504,2273
3486,2273
3457,2273
3419,2273
3373,14
3319,3264
3259,3264
3195,3264
3128,3264
3059,3264
2991,3264
2926,5627
2864,5627
2807,2376
2758,2376
2716,2376
2685,2376
2663,5466
2653,5466
2654,3103
2668,3103
2694,3103
2731,3103
2781,5224
2841,5224
2911,2135
2989,2135
3076,2135
3168,5164
3266,6510
3366,6510
3468,6510
3570,6873
3669,6873
3766,3406
3857,3406
3942,3406
4020,3406
4089,3406
4148,3443
4198,3443
4237,3443
4266,3443
4284,6386
4292,6386
4291,6386
4281,6386
4263,6386
4238,6386
4208,5767
4174,5767
4137,2824
4098,2824
4060,2824
4024,5169
3991,5169
3962,5169
3939,5169
3922,5194
3913,5194
3912,5194
3920,5194
3937,5194
3963,5194
3997,5194
4040,5194
4090,5194
4148,2850
4211,14
4278,14
4349,14
4422,14
4496,14
4569,14
4639,14
4705,14
4766,14
4821,14
4868,14
4907,14
4936,14
4955,14
4964,2135
4962,2135
4950,14
4929,14
4897,14
4857,14
4809,14
4754,14
4694,14
4630,14
4563,14
4494,14
4427,14
4361,14
4298,14
4241,14
4189,14
4145,41
4109,2135
4081,2135
4063,14
4056,14
4058,14
4069,14
4091,14
4121,14
4159,14
4204,14
4255,14
4311,14
4370,14
4430,14
4491,14
4550,14
4605,14
4656,14
4701,2135
4738,2135
4767,2135
4786,14
4794,14
4792,14
4778,14
4753,14
4716,14
4669,14
4611,14
4544,14
4469,14
4386,14
4298,14
4205,14
4110,14
4014,14
3919,35
3827,2135
3739,2135
3657,14
3581,14
3515,14
3458,14
3412,14
3377,14
3354,14
3344,14
3345,14
3358,14
3382,14
3417,14
3462,14
3515,14
3576,3198
3642,3198
3713,3198
3786,3198
3860,3198
3934,3198
4005,3198
4073,5319
4135,5319
4191,5319
4239,5319
4279,5286
4309,5286
4330,5286
4340,5286
4340,5286
4330,5286
4310,5286
4281,5286
4245,5286
4201,5286
4151,5286
4096,5286
4038,3165
3978,14
3918,14
3859,14
3803,14
3750,14
3703,14
3662,14
3629,14
3604,14
3588,14
3581,14
3584,14
3595,14
3616,14
3646,14
3683,14
3728,14
3778,14
3833,14
3892,14
3952,3134
4013,3134
4073,3134
4131,3134
4185,3134
4234,3134
4277,3134
4312,3134
4338,3134
4356,3134
4364,3134
4363,3134
4351,3134
4330,3134
4299,14
4260,14
4212,14
4158,2106
4098,2106
4033,14
3965,14
3895,14
3826,14
3757,14
3692,14
3631,14
3576,14
3527,14
3487,14
3456,14
3434,14
3422,14
3421,14
3430,14
3449,14
3477,14
3515,14
3561,14
3614,2799
3673,2799
3736,2799
3802,2799
3870,2799
3937,2799
4003,2799
4065,2799
4122,2799
4173,5858
4217,5858
4251,5858
4276,5858
4291,5858
4294,5858
4287,5858
4268,5858
4238,5858
4198,5858
4148,5858
4089,5858
4022,5858
3948,5858
3870,3073
3788,3073
3704,14
3620,2106
3537,2106
3458,14
3384,14
3315,14
3255,14
3204,14
3162,14
3132,14
3113,14
3106,14
3111,14
3128,14
3156,14
3196,14
3246,14
3305,14
3372,3073
3445,3073
3524,3073
3606,5179
3691,5179
3775,5179
3858,5179
3939,5179
4014,3998
4084,3998
4147,3998
4201,3998
4246,1891
4282,1891
4307,1891
4321,5176
4326,5176
4319,5176
4304,5176
4279,5176
4246,6059
4205,6059
4159,6059
4108,2774
4054,14
3999,14
3943,14
3888,14
3836,14
3789,14
3746,14
3710,14
3681,14
3660,14
3648,14
3644,14
3650,14
3665,14
3688,14
3718,14
3757,14
3801,14
3850,14
3904,14
3959,14
4016,14
4073,14
4127,14
4179,14
4225,14
4266,14
4299,14
4324,14
4341,14
4347,14
4344,14
4330,69
4306,2469
4272,2469
4228,14
4175,14
4114,14
4046,40
3973,14
3895,14
3814,14
3731,14
3648,14
3567,14
3489,14
3416,14
3348,14
3287,14
3234,14
3191,14
3156,14
3132,14
3117,14
3113,14
3118,14
3133,14
3156,2290
3186,2290
3223,2290
3266,5179
3312,5179
3360,5179
3409,5179
3457,5179
3503,4736
3544,4736
3580,4736
3609,1847
3630,1847
3642,1847
3644,3618
3635,3618
3615,3618
3584,3618
3541,1784
3488,1784
3424,1784
3351,4700
3270,4700
3181,4700
3086,5818
2986,5818
2884,5818
2780,5818
2677,5818
2576,5818
2479,4875
2388,4875
2304,4875
2227,1987
2161,1987
2105,4676
2061,4676
2028,4676
2008,2703
2000,2703
2004,4651
2019,4651
2046,1962
2084,1962
2130,1962
2184,1962
2245,4798
2310,4798
2379,2850
2450,2850
2521,2850
2591,5539
2657,5539
2719,2703
2775,5703
2824,5703
2865,3014
2897,3014
2919,3014
2932,2680
2934,2680
2927,2680
2910,2680
2884,2680
2850,2680
2808,14
2760,14
2708,14
2652,2489
2593,2489
2534,2489
2477,2489
2421,2489
2369,2489
2322,14
2282,14
2249,14
2224,14
2208,14
2201,14
2204,14
2217,14
2239,14
2270,14
2309,14
2356,14
2409,14
2468,14
2531,14
2596,14
2663,14
2730,14
2794,2902
2856,2902
2913,2902
2965,2902
3009,2902
3046,2902
3074,5179
3093,5179
3102,5179
3101,5179
3091,5179
3072,5179
3044,5179
3008,5179
2964,5179
2915,5179
2861,4156
2803,4156
2743,1880
2683,1880
2625,1880
2568,1880
2516,14
2469,14
2429,14
2397,14
2374,14
2360,2376
2356,2376
2363,2376
2380,2376
2408,2376
2445,2376
2492,14
2548,14
2611,14
2681,14
2756,14
2834,14
2914,14
2995,14
3075,14
3152,14
3225,14
3292,14
3352,14
3404,14
3446,14
3478,14
3500,14
3511,14
3510,14
3499,14
3477,14
3445,2750
3404,2750
3355,2750
3299,2750
3237,2750
3172,2750
3104,2750
3036,2750
2968,1938
2904,1938
2844,1938
2789,1938
2742,4800
2704,4800
2676,4800
2658,4800
2652,4800
2658,4800
2676,5041
2705,5041
2747,2179
2800,2179
2864,2179
2937,5238
3018,5238
3107,3073
3202,6465
3300,6465
3401,3406
3503,6761
3604,6761
3703,3369
3798,3369
3887,3369
3970,3369
4044,3369
4110,3043
4166,3043
4213,3043
4248,3043
4273,5479
4288,5479
4293,5479
4289,5479
4276,5479
4255,5479
4228,5479
4197,5479
4161,5479
4123,5918
4085,5918
4047,5918
4012,5976
3980,5976
3953,5976
3932,5976
3918,5976
3912,5976
3914,5976
3925,5976
3945,5976
3974,5976
4011,5976
4057,5976
4109,5976
4169,5976
4234,5971
4303,1476
4374,1476
4448,14
4521,14
4593,14
4662,14
4727,14
4786,14
4838,14
4882,14
4918,14
4943,14
4959,14
4965,14
4959,14
4944,14
4919,14
4884,14
4841,14
4791,2135
4734,2135
4672,2135
4607,14
4539,14
4471,14
4404,14
4339,14
4278,14
4222,14
4173,14
4131,14
4098,14
4074,14
4060,14
4055,14
4060,14
4076,14
4100,14
4133,2135
4174,2135
4221,14
4274,14
4331,14
4391,14
4451,14
4511,14
4569,14
4623,14
4672,14
4715,14
4749,14
4775,14
4790,14
4795,14
4788,14
4771,47
4742,2120
4701,2120
4650,14
4589,14
4519,14
4441,14
4356,14
4266,14
4173,41
4077,14
3982,14
3887,14
3796,14
3710,14
3630,14
3557,14
3494,14
3441,14
3399,14
3368,14
3349,2065
3343,2065
3348,2065
3365,2065
3393,2065
3432,14
3480,14
3536,14
3598,14
3666,14
3738,2290
3812,2290
3886,2290
3959,2290
4029,4583
4095,4583
4155,4583
4209,4583
4254,4583
4290,7612
4317,5336
4334,5336
4341,5336
4337,5336
4324,5336
4301,5336
4270,5342
4230,1805
4184,1805
4132,14
4076,14
4017,14
3957,14
3897,14
3839,14
3784,14
3733,14
3688,14
3650,14
3620,14
3598,14
3585,14
3581,14
3587,14
3602,14
3626,14
3658,14
3698,14
3745,14
3797,14
3853,14
3912,3103
3973,3103
4034,3103
4094,3103
4150,3103
4203,3103
4249,3103
4290,3103
4322,3103
4346,3103
4360,3103
4365,3103
4360,3103
4345,3103
4320,14
4286,14
4244,14
4194,14
4138,14
4076,14
4010,14
3941,14
3871,14
3802,14
3735,2120
3671,2120
3611,2120
3558,14
3513,14
3475,14
3447,14
3429,14
3420,14
3423,14
3435,14
3457,14
3489,14
3530,14
3578,14
3634,14
3694,14
3759,14
3825,14
3893,14
3960,2489
4025,2489
4085,2489
4141,2489
4189,5881
4230,5881
4261,5881
4282,5881
4293,5881
4293,5881
4282,5881
4259,5881
4225,5881
4182,5881
4128,5881
4066,5881
3997,3406
3922,14
3842,14
3759,14
3675,14
3591,14
3510,14
3432,14
3359,14
3294,14
3236,14
3188,14
3150,14
3124,14
3109,14
3106,14
3115,14
3136,14
3169,2902
3212,2902
3265,2902
3327,6054
3396,6054
3472,6054
3552,6054
3635,6054
3720,6054
3804,5021
3886,5021
3965,5021
4039,1869
4107,1869
4166,1869
4218,3961
4260,3961
4292,3961
4313,5022
4324,5022
4325,5022
4315,5022
4296,5022
4268,5022
4232,5022
4190,5022
4142,5022
4090,5022
4035,5022
3979,5022
3924,5022
3870,1716
3819,1716
3773,14
3733,14
3699,14
3673,14
3655,14
3646,14
3645,14
3654,14
3672,14
3697,14
3731,14
3771,14
3817,14
3868,14
3923,14
3979,14
4036,14
4092,14
4145,3333
4195,3333
4240,3333
4278,14
4309,43
4331,14
4344,14
4347,14
4340,14
4323,14
4295,14
4257,14
4210,14
4155,14
4091,14
4021,14
3946,14
3867,14
3785,14
3702,14
3620,14
3540,2120
3463,2120
3392,14
3326,14
3268,14
3218,14
3178,14
3147,14
3125,14
3115,14
3114,14
3122,14
3140,14
3165,14
3198,14
3237,14
3281,3165
3328,3165
3377,3165
3426,5272
3473,5272
3517,5272
3557,5272
3591,5272
3617,3881
3635,3881
3644,3881
3642,1774
3629,1774
3605,1774
3570,4102
3524,4102
3467,4102
3400,5312
3324,5312
3240,5312
3148,5312
3052,5312
2951,5312
2848,5542
2745,5542
2642,5542
2542,5542
2447,4569
2358,4569
2276,4569
2203,4955
2140,4955
2088,4955
2048,2957
2019,2957
2003,5137
2000,5137
2008,2194
2028,2194
2058,2194
2099,3906
2148,1726
2204,1726
2267,1726
2334,1726
2404,1724
2475,3712
2546,1999
2614,1999
2679,1999
2739,3103
2793,3103
2839,3103
2877,3103
2905,3103
2924,3103
2934,14
2933,2635
2922,2635
2902,2635
2873,2635
2836,2635
2792,2635
2743,14
2689,29
2632,2529
2573,2529
2514,2529
2457,2529
2403,2529
2352,14
2308,14
2270,14
2239,14
2218,14
2205,14
2201,14
2208,14
2223,14
